2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Starting chess COT generation with performance optimizations
2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Configuration: Workers=8, Batch_Size=32, Top_K=5
2025-06-07 15:15:03,453 - chess_cot_generation - INFO - Ray initialized with 8 workers
2025-06-07 15:15:03,454 - chess_cot_generation - INFO - Creating Stockfish workers...
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - 8 Stockfish workers created
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - Initializing FEN generator from: /media/maxime/385e67e0-8703-4723-a0bc-af3a292fd030/stockfish_data/Leela_training
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Using real dir_iterator
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Starting processing loop for up to 1000000 batches
2025-06-07 15:15:29,025 - chess_cot_generation - INFO - Performance Stats - Batch 0: Throughput: 1.36 FENs/sec, Avg Worker Util: 70.2%, Total Processed: 32, CPU: 76.1%, Memory: 41.6%
2025-06-07 15:19:42,061 - chess_cot_generation - INFO - Performance Stats - Batch 10: Throughput: 1.27 FENs/sec, Avg Worker Util: 83.8%, Total Processed: 352, CPU: 86.9%, Memory: 42.5%
2025-06-07 15:24:19,937 - chess_cot_generation - INFO - Performance Stats - Batch 20: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 672, CPU: 89.0%, Memory: 46.4%
2025-06-07 15:28:51,421 - chess_cot_generation - INFO - Performance Stats - Batch 30: Throughput: 1.20 FENs/sec, Avg Worker Util: 85.2%, Total Processed: 992, CPU: 86.6%, Memory: 46.4%
2025-06-07 15:33:11,794 - chess_cot_generation - INFO - Performance Stats - Batch 40: Throughput: 1.21 FENs/sec, Avg Worker Util: 84.8%, Total Processed: 1312, CPU: 84.6%, Memory: 45.4%
2025-06-07 15:37:40,621 - chess_cot_generation - INFO - Performance Stats - Batch 50: Throughput: 1.20 FENs/sec, Avg Worker Util: 84.9%, Total Processed: 1632, CPU: 86.9%, Memory: 46.1%
2025-06-07 15:41:55,451 - chess_cot_generation - INFO - Performance Stats - Batch 60: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.0%, Total Processed: 1952, CPU: 86.1%, Memory: 46.2%
2025-06-07 15:46:09,136 - chess_cot_generation - INFO - Performance Stats - Batch 70: Throughput: 1.22 FENs/sec, Avg Worker Util: 85.1%, Total Processed: 2272, CPU: 86.9%, Memory: 46.2%
2025-06-07 15:50:24,700 - chess_cot_generation - INFO - Performance Stats - Batch 80: Throughput: 1.22 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 2592, CPU: 88.1%, Memory: 46.1%
2025-06-07 15:54:43,828 - chess_cot_generation - INFO - Performance Stats - Batch 90: Throughput: 1.22 FENs/sec, Avg Worker Util: 85.2%, Total Processed: 2912, CPU: 85.0%, Memory: 46.3%
2025-06-07 15:58:56,581 - chess_cot_generation - INFO - Performance Stats - Batch 100: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.0%, Total Processed: 3232, CPU: 84.5%, Memory: 46.2%
2025-06-07 16:02:53,892 - chess_cot_generation - INFO - Performance Stats - Batch 110: Throughput: 1.23 FENs/sec, Avg Worker Util: 84.9%, Total Processed: 3552, CPU: 84.6%, Memory: 46.4%
2025-06-07 16:07:11,495 - chess_cot_generation - INFO - Performance Stats - Batch 120: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.0%, Total Processed: 3872, CPU: 86.2%, Memory: 46.1%
2025-06-07 16:11:25,784 - chess_cot_generation - INFO - Performance Stats - Batch 130: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.2%, Total Processed: 4192, CPU: 89.3%, Memory: 46.5%
2025-06-07 16:15:49,949 - chess_cot_generation - INFO - Performance Stats - Batch 140: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.2%, Total Processed: 4512, CPU: 85.4%, Memory: 46.1%
2025-06-07 16:20:05,367 - chess_cot_generation - INFO - Performance Stats - Batch 150: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.3%, Total Processed: 4832, CPU: 87.4%, Memory: 46.3%
2025-06-07 16:24:39,271 - chess_cot_generation - INFO - Performance Stats - Batch 160: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.3%, Total Processed: 5152, CPU: 85.9%, Memory: 46.2%
2025-06-07 16:28:47,872 - chess_cot_generation - INFO - Performance Stats - Batch 170: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.3%, Total Processed: 5472, CPU: 86.1%, Memory: 46.2%
2025-06-07 16:33:08,857 - chess_cot_generation - INFO - Performance Stats - Batch 180: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 5792, CPU: 88.1%, Memory: 46.3%
2025-06-07 16:37:31,214 - chess_cot_generation - INFO - Performance Stats - Batch 190: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 6112, CPU: 87.1%, Memory: 46.3%
2025-06-07 16:41:47,040 - chess_cot_generation - INFO - Performance Stats - Batch 200: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 6432, CPU: 86.9%, Memory: 46.4%
2025-06-07 16:46:03,724 - chess_cot_generation - INFO - Performance Stats - Batch 210: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 6752, CPU: 89.0%, Memory: 46.5%
2025-06-07 16:50:22,926 - chess_cot_generation - INFO - Performance Stats - Batch 220: Throughput: 1.23 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 7072, CPU: 84.9%, Memory: 46.4%
2025-06-07 16:54:26,886 - chess_cot_generation - INFO - Performance Stats - Batch 230: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 7392, CPU: 88.1%, Memory: 46.6%
2025-06-07 16:58:45,034 - chess_cot_generation - INFO - Performance Stats - Batch 240: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 7712, CPU: 86.8%, Memory: 46.4%
2025-06-07 17:03:00,909 - chess_cot_generation - INFO - Performance Stats - Batch 250: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 8032, CPU: 82.3%, Memory: 46.1%
2025-06-07 17:07:15,988 - chess_cot_generation - INFO - Performance Stats - Batch 260: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 8352, CPU: 85.9%, Memory: 46.4%
